theta1,theta2,px,py
0,0,90,0
0,10,89.39231012,6.945927107
0,20,87.58770483,13.68080573
0,30,84.64101615,20
0,40,80.64177772,25.71150439
0,50,75.71150439,30.64177772
0,60,70,34.64101615
0,70,63.68080573,37.58770483
0,80,56.94592711,39.39231012
0,90,50,40
0,100,43.05407289,39.39231012
0,110,36.31919427,37.58770483
0,120,30,34.64101615
0,130,24.28849561,30.64177772
0,140,19.35822228,25.71150439
0,150,15.35898385,20
0,160,12.41229517,13.68080573
0,170,10.60768988,6.945927107
0,180,10,4.90E-15
0,190,10.60768988,-6.945927107
0,200,12.41229517,-13.68080573
0,210,15.35898385,-20
0,220,19.35822228,-25.71150439
0,230,24.28849561,-30.64177772
0,240,30,-34.64101615
0,250,36.31919427,-37.58770483
0,260,43.05407289,-39.39231012
0,270,50,-40
0,280,56.94592711,-39.39231012
0,290,63.68080573,-37.58770483
0,300,70,-34.64101615
0,310,75.71150439,-30.64177772
0,320,80.64177772,-25.71150439
0,330,84.64101615,-20
0,340,87.58770483,-13.68080573
0,350,89.39231012,-6.945927107
0,360,90,-9.80E-15
10,0,88.63269777,15.62833599
10,10,86.82809248,22.36321462
10,20,83.8814038,28.68240888
10,30,79.88216538,34.39391327
10,40,74.95189204,39.32418661
10,50,69.24038765,43.32342503
10,60,62.92119338,46.27011371
10,70,56.18631476,48.074719
10,80,49.24038765,48.68240888
10,90,42.29446054,48.074719
10,100,35.55958192,46.27011371
10,110,29.24038765,43.32342503
10,120,23.52888326,39.32418661
10,130,18.59860993,34.39391327
10,140,14.5993715,28.68240888
10,150,11.65268282,22.36321462
10,160,9.84807753,15.62833599
10,170,9.240387651,8.682408883
10,180,9.84807753,1.736481777
10,190,11.65268282,-4.99839685
10,200,14.5993715,-11.31759112
10,210,18.59860993,-17.0290955
10,220,23.52888326,-21.95936884
10,230,29.24038765,-25.95860727
10,240,35.55958192,-28.90529595
10,250,42.29446054,-30.70990124
10,260,49.24038765,-31.31759112
10,270,56.18631476,-30.70990124
10,280,62.92119338,-28.90529595
10,290,69.24038765,-25.95860727
10,300,74.95189204,-21.95936884
10,310,79.88216538,-17.0290955
10,320,83.8814038,-11.31759112
10,330,86.82809248,-4.99839685
10,340,88.63269777,1.736481777
10,350,89.24038765,8.682408883
10,360,88.63269777,15.62833599
20,0,84.57233587,30.7818129
20,10,81.62564719,37.10100717
20,20,77.62640876,42.81251155
20,30,72.69613543,47.74278489
20,40,66.98463104,51.74202332
20,50,60.66543677,54.688712
20,60,53.93055815,56.49331729
20,70,46.98463104,57.10100717
20,80,40.03870393,56.49331729
20,90,33.30382531,54.688712
20,100,26.98463104,51.74202332
20,110,21.27312665,47.74278489
20,120,16.34285331,42.81251155
20,130,12.34361489,37.10100717
20,140,9.396926208,30.7818129
20,150,7.592320919,24.04693427
20,160,6.984631039,17.10100717
20,170,7.592320919,10.15508006
20,180,9.396926208,3.420201433
20,190,12.34361489,-2.898992834
20,200,16.34285331,-8.610497221
20,210,21.27312665,-13.54077056
20,220,26.98463104,-17.54000899
20,230,33.30382531,-20.48669767
20,240,40.03870393,-22.29130295
20,250,46.98463104,-22.89899283
20,260,53.93055815,-22.29130295
20,270,60.66543677,-20.48669767
20,280,66.98463104,-17.54000899
20,290,72.69613543,-13.54077056
20,300,77.62640876,-8.610497221
20,310,81.62564719,-2.898992834
20,320,84.57233587,3.420201433
20,330,86.37694116,10.15508006
20,340,86.98463104,17.10100717
20,350,86.37694116,24.04693427
20,360,84.57233587,30.7818129
30,0,77.94228634,45
30,10,73.94304791,50.71150439
30,20,69.01277458,55.64177772
30,30,63.30127019,59.64101615
30,40,56.98207592,62.58770483
30,50,50.2471973,64.39231012
30,60,43.30127019,65
30,70,36.35534308,64.39231012
30,80,29.62046446,62.58770483
30,90,23.30127019,59.64101615
30,100,17.5897658,55.64177772
30,110,12.65949246,50.71150439
30,120,8.660254038,45
30,130,5.713565358,38.68080573
30,140,3.908960069,31.94592711
30,150,3.301270189,25
30,160,3.908960069,18.05407289
30,170,5.713565358,11.31919427
30,180,8.660254038,5
30,190,12.65949246,-0.711504387
30,200,17.5897658,-5.641777725
30,210,23.30127019,-9.641016151
30,220,29.62046446,-12.58770483
30,230,36.35534308,-14.39231012
30,240,43.30127019,-15
30,250,50.2471973,-14.39231012
30,260,56.98207592,-12.58770483
30,270,63.30127019,-9.641016151
30,280,69.01277458,-5.641777725
30,290,73.94304791,-0.711504387
30,300,77.94228634,5
30,310,80.88897502,11.31919427
30,320,82.69358031,18.05407289
30,330,83.30127019,25
30,340,82.69358031,31.94592711
30,350,80.88897502,38.68080573
30,360,77.94228634,45
40,0,68.94399988,57.85088487
40,10,64.01372654,62.78115821
40,20,58.30222216,66.78039664
40,30,51.98302789,69.72708532
40,40,45.24814926,71.5316906
40,50,38.30222216,72.13938048
40,60,31.35629505,71.5316906
40,70,24.62141642,69.72708532
40,80,18.30222216,66.78039664
40,90,12.59071777,62.78115821
40,100,7.660444431,57.85088487
40,110,3.661206005,52.13938048
40,120,0.714517325,45.82018622
40,130,-1.090087965,39.08530759
40,140,-1.697777844,32.13938048
40,150,-1.090087965,25.19345338
40,160,0.714517325,18.45857475
40,170,3.661206005,12.13938048
40,180,7.660444431,6.427876097
40,190,12.59071777,1.49760276
40,200,18.30222216,-2.501635667
40,210,24.62141642,-5.448324347
40,220,31.35629505,-7.252929636
40,230,38.30222216,-7.860619516
40,240,45.24814926,-7.252929636
40,250,51.98302789,-5.448324347
40,260,58.30222216,-2.501635667
40,270,64.01372654,1.49760276
40,280,68.94399988,6.427876097
40,290,72.94323831,12.13938048
40,300,75.88992699,18.45857475
40,310,77.69453228,25.19345338
40,320,78.30222216,32.13938048
40,330,77.69453228,39.08530759
40,340,75.88992699,45.82018622
40,350,72.94323831,52.13938048
40,360,68.94399988,57.85088487
50,0,57.85088487,68.94399988
50,10,52.13938048,72.94323831
50,20,45.82018622,75.88992699
50,30,39.08530759,77.69453228
50,40,32.13938048,78.30222216
50,50,25.19345338,77.69453228
50,60,18.45857475,75.88992699
50,70,12.13938048,72.94323831
50,80,6.427876097,68.94399988
50,90,1.49760276,64.01372654
50,100,-2.501635667,58.30222216
50,110,-5.448324347,51.98302789
50,120,-7.252929636,45.24814926
50,130,-7.860619516,38.30222216
50,140,-7.252929636,31.35629505
50,150,-5.448324347,24.62141642
50,160,-2.501635667,18.30222216
50,170,1.49760276,12.59071777
50,180,6.427876097,7.660444431
50,190,12.13938048,3.661206005
50,200,18.45857475,0.714517325
50,210,25.19345338,-1.090087965
50,220,32.13938048,-1.697777844
50,230,39.08530759,-1.090087965
50,240,45.82018622,0.714517325
50,250,52.13938048,3.661206005
50,260,57.85088487,7.660444431
50,270,62.78115821,12.59071777
50,280,66.78039664,18.30222216
50,290,69.72708532,24.62141642
50,300,71.5316906,31.35629505
50,310,72.13938048,38.30222216
50,320,71.5316906,45.24814926
50,330,69.72708532,51.98302789
50,340,66.78039664,58.30222216
50,350,62.78115821,64.01372654
50,360,57.85088487,68.94399988
60,0,45,77.94228634
60,10,38.68080573,80.88897502
60,20,31.94592711,82.69358031
60,30,25,83.30127019
60,40,18.05407289,82.69358031
60,50,11.31919427,80.88897502
60,60,5,77.94228634
60,70,-0.711504387,73.94304791
60,80,-5.641777725,69.01277458
60,90,-9.641016151,63.30127019
60,100,-12.58770483,56.98207592
60,110,-14.39231012,50.2471973
60,120,-15,43.30127019
60,130,-14.39231012,36.35534308
60,140,-12.58770483,29.62046446
60,150,-9.641016151,23.30127019
60,160,-5.641777725,17.5897658
60,170,-0.711504387,12.65949246
60,180,5,8.660254038
60,190,11.31919427,5.713565358
60,200,18.05407289,3.908960069
60,210,25,3.301270189
60,220,31.94592711,3.908960069
60,230,38.68080573,5.713565358
60,240,45,8.660254038
60,250,50.71150439,12.65949246
60,260,55.64177772,17.5897658
60,270,59.64101615,23.30127019
60,280,62.58770483,29.62046446
60,290,64.39231012,36.35534308
60,300,65,43.30127019
60,310,64.39231012,50.2471973
60,320,62.58770483,56.98207592
60,330,59.64101615,63.30127019
60,340,55.64177772,69.01277458
60,350,50.71150439,73.94304791
60,360,45,77.94228634
70,0,30.7818129,84.57233587
70,10,24.04693427,86.37694116
70,20,17.10100717,86.98463104
70,30,10.15508006,86.37694116
70,40,3.420201433,84.57233587
70,50,-2.898992834,81.62564719
70,60,-8.610497221,77.62640876
70,70,-13.54077056,72.69613543
70,80,-17.54000899,66.98463104
70,90,-20.48669767,60.66543677
70,100,-22.29130295,53.93055815
70,110,-22.89899283,46.98463104
70,120,-22.29130295,40.03870393
70,130,-20.48669767,33.30382531
70,140,-17.54000899,26.98463104
70,150,-13.54077056,21.27312665
70,160,-8.610497221,16.34285331
70,170,-2.898992834,12.34361489
70,180,3.420201433,9.396926208
70,190,10.15508006,7.592320919
70,200,17.10100717,6.984631039
70,210,24.04693427,7.592320919
70,220,30.7818129,9.396926208
70,230,37.10100717,12.34361489
70,240,42.81251155,16.34285331
70,250,47.74278489,21.27312665
70,260,51.74202332,26.98463104
70,270,54.688712,33.30382531
70,280,56.49331729,40.03870393
70,290,57.10100717,46.98463104
70,300,56.49331729,53.93055815
70,310,54.688712,60.66543677
70,320,51.74202332,66.98463104
70,330,47.74278489,72.69613543
70,340,42.81251155,77.62640876
70,350,37.10100717,81.62564719
70,360,30.7818129,84.57233587
80,0,15.62833599,88.63269777
80,10,8.682408883,89.24038765
80,20,1.736481777,88.63269777
80,30,-4.99839685,86.82809248
80,40,-11.31759112,83.8814038
80,50,-17.0290955,79.88216538
80,60,-21.95936884,74.95189204
80,70,-25.95860727,69.24038765
80,80,-28.90529595,62.92119338
80,90,-30.70990124,56.18631476
80,100,-31.31759112,49.24038765
80,110,-30.70990124,42.29446054
80,120,-28.90529595,35.55958192
80,130,-25.95860727,29.24038765
80,140,-21.95936884,23.52888326
80,150,-17.0290955,18.59860993
80,160,-11.31759112,14.5993715
80,170,-4.99839685,11.65268282
80,180,1.736481777,9.84807753
80,190,8.682408883,9.240387651
80,200,15.62833599,9.84807753
80,210,22.36321462,11.65268282
80,220,28.68240888,14.5993715
80,230,34.39391327,18.59860993
80,240,39.32418661,23.52888326
80,250,43.32342503,29.24038765
80,260,46.27011371,35.55958192
80,270,48.074719,42.29446054
80,280,48.68240888,49.24038765
80,290,48.074719,56.18631476
80,300,46.27011371,62.92119338
80,310,43.32342503,69.24038765
80,320,39.32418661,74.95189204
80,330,34.39391327,79.88216538
80,340,28.68240888,83.8814038
80,350,22.36321462,86.82809248
80,360,15.62833599,88.63269777
90,0,5.51E-15,90
90,10,-6.945927107,89.39231012
90,20,-13.68080573,87.58770483
90,30,-20,84.64101615
90,40,-25.71150439,80.64177772
90,50,-30.64177772,75.71150439
90,60,-34.64101615,70
90,70,-37.58770483,63.68080573
90,80,-39.39231012,56.94592711
90,90,-40,50
90,100,-39.39231012,43.05407289
90,110,-37.58770483,36.31919427
90,120,-34.64101615,30
90,130,-30.64177772,24.28849561
90,140,-25.71150439,19.35822228
90,150,-20,15.35898385
90,160,-13.68080573,12.41229517
90,170,-6.945927107,10.60768988
90,180,-4.29E-15,10
90,190,6.945927107,10.60768988
90,200,13.68080573,12.41229517
90,210,20,15.35898385
90,220,25.71150439,19.35822228
90,230,30.64177772,24.28849561
90,240,34.64101615,30
90,250,37.58770483,36.31919427
90,260,39.39231012,43.05407289
90,270,40,50
90,280,39.39231012,56.94592711
90,290,37.58770483,63.68080573
90,300,34.64101615,70
90,310,30.64177772,75.71150439
90,320,25.71150439,80.64177772
90,330,20,84.64101615
90,340,13.68080573,87.58770483
90,350,6.945927107,89.39231012
90,360,1.53E-14,90
100,0,-15.62833599,88.63269777
100,10,-22.36321462,86.82809248
100,20,-28.68240888,83.8814038
100,30,-34.39391327,79.88216538
100,40,-39.32418661,74.95189204
100,50,-43.32342503,69.24038765
100,60,-46.27011371,62.92119338
100,70,-48.074719,56.18631476
100,80,-48.68240888,49.24038765
100,90,-48.074719,42.29446054
100,100,-46.27011371,35.55958192
100,110,-43.32342503,29.24038765
100,120,-39.32418661,23.52888326
100,130,-34.39391327,18.59860993
100,140,-28.68240888,14.5993715
100,150,-22.36321462,11.65268282
100,160,-15.62833599,9.84807753
100,170,-8.682408883,9.240387651
100,180,-1.736481777,9.84807753
100,190,4.99839685,11.65268282
100,200,11.31759112,14.5993715
100,210,17.0290955,18.59860993
100,220,21.95936884,23.52888326
100,230,25.95860727,29.24038765
100,240,28.90529595,35.55958192
100,250,30.70990124,42.29446054
100,260,31.31759112,49.24038765
100,270,30.70990124,56.18631476
100,280,28.90529595,62.92119338
100,290,25.95860727,69.24038765
100,300,21.95936884,74.95189204
100,310,17.0290955,79.88216538
100,320,11.31759112,83.8814038
100,330,4.99839685,86.82809248
100,340,-1.736481777,88.63269777
100,350,-8.682408883,89.24038765
100,360,-15.62833599,88.63269777
110,0,-30.7818129,84.57233587
110,10,-37.10100717,81.62564719
110,20,-42.81251155,77.62640876
110,30,-47.74278489,72.69613543
110,40,-51.74202332,66.98463104
110,50,-54.688712,60.66543677
110,60,-56.49331729,53.93055815
110,70,-57.10100717,46.98463104
110,80,-56.49331729,40.03870393
110,90,-54.688712,33.30382531
110,100,-51.74202332,26.98463104
110,110,-47.74278489,21.27312665
110,120,-42.81251155,16.34285331
110,130,-37.10100717,12.34361489
110,140,-30.7818129,9.396926208
110,150,-24.04693427,7.592320919
110,160,-17.10100717,6.984631039
110,170,-10.15508006,7.592320919
110,180,-3.420201433,9.396926208
110,190,2.898992834,12.34361489
110,200,8.610497221,16.34285331
110,210,13.54077056,21.27312665
110,220,17.54000899,26.98463104
110,230,20.48669767,33.30382531
110,240,22.29130295,40.03870393
110,250,22.89899283,46.98463104
110,260,22.29130295,53.93055815
110,270,20.48669767,60.66543677
110,280,17.54000899,66.98463104
110,290,13.54077056,72.69613543
110,300,8.610497221,77.62640876
110,310,2.898992834,81.62564719
110,320,-3.420201433,84.57233587
110,330,-10.15508006,86.37694116
110,340,-17.10100717,86.98463104
110,350,-24.04693427,86.37694116
110,360,-30.7818129,84.57233587
120,0,-45,77.94228634
120,10,-50.71150439,73.94304791
120,20,-55.64177772,69.01277458
120,30,-59.64101615,63.30127019
120,40,-62.58770483,56.98207592
120,50,-64.39231012,50.2471973
120,60,-65,43.30127019
120,70,-64.39231012,36.35534308
120,80,-62.58770483,29.62046446
120,90,-59.64101615,23.30127019
120,100,-55.64177772,17.5897658
120,110,-50.71150439,12.65949246
120,120,-45,8.660254038
120,130,-38.68080573,5.713565358
120,140,-31.94592711,3.908960069
120,150,-25,3.301270189
120,160,-18.05407289,3.908960069
120,170,-11.31919427,5.713565358
120,180,-5,8.660254038
120,190,0.711504387,12.65949246
120,200,5.641777725,17.5897658
120,210,9.641016151,23.30127019
120,220,12.58770483,29.62046446
120,230,14.39231012,36.35534308
120,240,15,43.30127019
120,250,14.39231012,50.2471973
120,260,12.58770483,56.98207592
120,270,9.641016151,63.30127019
120,280,5.641777725,69.01277458
120,290,0.711504387,73.94304791
120,300,-5,77.94228634
120,310,-11.31919427,80.88897502
120,320,-18.05407289,82.69358031
120,330,-25,83.30127019
120,340,-31.94592711,82.69358031
120,350,-38.68080573,80.88897502
120,360,-45,77.94228634
130,0,-57.85088487,68.94399988
130,10,-62.78115821,64.01372654
130,20,-66.78039664,58.30222216
130,30,-69.72708532,51.98302789
130,40,-71.5316906,45.24814926
130,50,-72.13938048,38.30222216
130,60,-71.5316906,31.35629505
130,70,-69.72708532,24.62141642
130,80,-66.78039664,18.30222216
130,90,-62.78115821,12.59071777
130,100,-57.85088487,7.660444431
130,110,-52.13938048,3.661206005
130,120,-45.82018622,0.714517325
130,130,-39.08530759,-1.090087965
130,140,-32.13938048,-1.697777844
130,150,-25.19345338,-1.090087965
130,160,-18.45857475,0.714517325
130,170,-12.13938048,3.661206005
130,180,-6.427876097,7.660444431
130,190,-1.49760276,12.59071777
130,200,2.501635667,18.30222216
130,210,5.448324347,24.62141642
130,220,7.252929636,31.35629505
130,230,7.860619516,38.30222216
130,240,7.252929636,45.24814926
130,250,5.448324347,51.98302789
130,260,2.501635667,58.30222216
130,270,-1.49760276,64.01372654
130,280,-6.427876097,68.94399988
130,290,-12.13938048,72.94323831
130,300,-18.45857475,75.88992699
130,310,-25.19345338,77.69453228
130,320,-32.13938048,78.30222216
130,330,-39.08530759,77.69453228
130,340,-45.82018622,75.88992699
130,350,-52.13938048,72.94323831
130,360,-57.85088487,68.94399988
140,0,-68.94399988,57.85088487
140,10,-72.94323831,52.13938048
140,20,-75.88992699,45.82018622
140,30,-77.69453228,39.08530759
140,40,-78.30222216,32.13938048
140,50,-77.69453228,25.19345338
140,60,-75.88992699,18.45857475
140,70,-72.94323831,12.13938048
140,80,-68.94399988,6.427876097
140,90,-64.01372654,1.49760276
140,100,-58.30222216,-2.501635667
140,110,-51.98302789,-5.448324347
140,120,-45.24814926,-7.252929636
140,130,-38.30222216,-7.860619516
140,140,-31.35629505,-7.252929636
140,150,-24.62141642,-5.448324347
140,160,-18.30222216,-2.501635667
140,170,-12.59071777,1.49760276
140,180,-7.660444431,6.427876097
140,190,-3.661206005,12.13938048
140,200,-0.714517325,18.45857475
140,210,1.090087965,25.19345338
140,220,1.697777844,32.13938048
140,230,1.090087965,39.08530759
140,240,-0.714517325,45.82018622
140,250,-3.661206005,52.13938048
140,260,-7.660444431,57.85088487
140,270,-12.59071777,62.78115821
140,280,-18.30222216,66.78039664
140,290,-24.62141642,69.72708532
140,300,-31.35629505,71.5316906
140,310,-38.30222216,72.13938048
140,320,-45.24814926,71.5316906
140,330,-51.98302789,69.72708532
140,340,-58.30222216,66.78039664
140,350,-64.01372654,62.78115821
140,360,-68.94399988,57.85088487
150,0,-77.94228634,45
150,10,-80.88897502,38.68080573
150,20,-82.69358031,31.94592711
150,30,-83.30127019,25
150,40,-82.69358031,18.05407289
150,50,-80.88897502,11.31919427
150,60,-77.94228634,5
150,70,-73.94304791,-0.711504387
150,80,-69.01277458,-5.641777725
150,90,-63.30127019,-9.641016151
150,100,-56.98207592,-12.58770483
150,110,-50.2471973,-14.39231012
150,120,-43.30127019,-15
150,130,-36.35534308,-14.39231012
150,140,-29.62046446,-12.58770483
150,150,-23.30127019,-9.641016151
150,160,-17.5897658,-5.641777725
150,170,-12.65949246,-0.711504387
150,180,-8.660254038,5
150,190,-5.713565358,11.31919427
150,200,-3.908960069,18.05407289
150,210,-3.301270189,25
150,220,-3.908960069,31.94592711
150,230,-5.713565358,38.68080573
150,240,-8.660254038,45
150,250,-12.65949246,50.71150439
150,260,-17.5897658,55.64177772
150,270,-23.30127019,59.64101615
150,280,-29.62046446,62.58770483
150,290,-36.35534308,64.39231012
150,300,-43.30127019,65
150,310,-50.2471973,64.39231012
150,320,-56.98207592,62.58770483
150,330,-63.30127019,59.64101615
150,340,-69.01277458,55.64177772
150,350,-73.94304791,50.71150439
150,360,-77.94228634,45
160,0,-84.57233587,30.7818129
160,10,-86.37694116,24.04693427
160,20,-86.98463104,17.10100717
160,30,-86.37694116,10.15508006
160,40,-84.57233587,3.420201433
160,50,-81.62564719,-2.898992834
160,60,-77.62640876,-8.610497221
160,70,-72.69613543,-13.54077056
160,80,-66.98463104,-17.54000899
160,90,-60.66543677,-20.48669767
160,100,-53.93055815,-22.29130295
160,110,-46.98463104,-22.89899283
160,120,-40.03870393,-22.29130295
160,130,-33.30382531,-20.48669767
160,140,-26.98463104,-17.54000899
160,150,-21.27312665,-13.54077056
160,160,-16.34285331,-8.610497221
160,170,-12.34361489,-2.898992834
160,180,-9.396926208,3.420201433
160,190,-7.592320919,10.15508006
160,200,-6.984631039,17.10100717
160,210,-7.592320919,24.04693427
160,220,-9.396926208,30.7818129
160,230,-12.34361489,37.10100717
160,240,-16.34285331,42.81251155
160,250,-21.27312665,47.74278489
160,260,-26.98463104,51.74202332
160,270,-33.30382531,54.688712
160,280,-40.03870393,56.49331729
160,290,-46.98463104,57.10100717
160,300,-53.93055815,56.49331729
160,310,-60.66543677,54.688712
160,320,-66.98463104,51.74202332
160,330,-72.69613543,47.74278489
160,340,-77.62640876,42.81251155
160,350,-81.62564719,37.10100717
160,360,-84.57233587,30.7818129
170,0,-88.63269777,15.62833599
170,10,-89.24038765,8.682408883
170,20,-88.63269777,1.736481777
170,30,-86.82809248,-4.99839685
170,40,-83.8814038,-11.31759112
170,50,-79.88216538,-17.0290955
170,60,-74.95189204,-21.95936884
170,70,-69.24038765,-25.95860727
170,80,-62.92119338,-28.90529595
170,90,-56.18631476,-30.70990124
170,100,-49.24038765,-31.31759112
170,110,-42.29446054,-30.70990124
170,120,-35.55958192,-28.90529595
170,130,-29.24038765,-25.95860727
170,140,-23.52888326,-21.95936884
170,150,-18.59860993,-17.0290955
170,160,-14.5993715,-11.31759112
170,170,-11.65268282,-4.99839685
170,180,-9.84807753,1.736481777
170,190,-9.240387651,8.682408883
170,200,-9.84807753,15.62833599
170,210,-11.65268282,22.36321462
170,220,-14.5993715,28.68240888
170,230,-18.59860993,34.39391327
170,240,-23.52888326,39.32418661
170,250,-29.24038765,43.32342503
170,260,-35.55958192,46.27011371
170,270,-42.29446054,48.074719
170,280,-49.24038765,48.68240888
170,290,-56.18631476,48.074719
170,300,-62.92119338,46.27011371
170,310,-69.24038765,43.32342503
170,320,-74.95189204,39.32418661
170,330,-79.88216538,34.39391327
170,340,-83.8814038,28.68240888
170,350,-86.82809248,22.36321462
170,360,-88.63269777,15.62833599
180,0,-90,1.10E-14
180,10,-89.39231012,-6.945927107
180,20,-87.58770483,-13.68080573
180,30,-84.64101615,-20
180,40,-80.64177772,-25.71150439
180,50,-75.71150439,-30.64177772
180,60,-70,-34.64101615
180,70,-63.68080573,-37.58770483
180,80,-56.94592711,-39.39231012
180,90,-50,-40
180,100,-43.05407289,-39.39231012
180,110,-36.31919427,-37.58770483
180,120,-30,-34.64101615
180,130,-24.28849561,-30.64177772
180,140,-19.35822228,-25.71150439
180,150,-15.35898385,-20
180,160,-12.41229517,-13.68080573
180,170,-10.60768988,-6.945927107
180,180,-10,-3.67E-15
180,190,-10.60768988,6.945927107
180,200,-12.41229517,13.68080573
180,210,-15.35898385,20
180,220,-19.35822228,25.71150439
180,230,-24.28849561,30.64177772
180,240,-30,34.64101615
180,250,-36.31919427,37.58770483
180,260,-43.05407289,39.39231012
180,270,-50,40
180,280,-56.94592711,39.39231012
180,290,-63.68080573,37.58770483
180,300,-70,34.64101615
180,310,-75.71150439,30.64177772
